PERMCO,GVKEY,companyid,score,preferred,duplicate
4234,017115,27549,1,1,0
4238,009614,19054,5,1,0
4246,009728,1670206,1,1,0
4252,010085,29234,1,1,0
4254,010097,29324,1,1,0
4255,003424,29151,1,1,0
4260,010035,29131,1,1,0
4262,008073,22905,1,1,0
4265,009993,29044,6,1,0
4267,009997,2334,10,1,0
4275,010013,10680,3,1,0
4278,009372,28985,1,1,0
4282,010089,29285,7,1,0
4289,010096,25380,1,1,0
4293,062689,28991,6,0,1
4293,062689,469152,2,1,1
4295,010124,29416,1,1,0
4298,010115,29405,1,1,0
4334,011531,2366,1,1,0
4338,009904,29260,1,1,0
4340,010221,29722,3,0,1
4340,010221,2654473,1,1,1
4342,009890,28702,1,1,0
4350,009849,1938,1,1,0
4373,010331,4774,3,1,0
4375,010441,30419,1,1,0
4381,010349,30032,1,1,0
4388,032280,1725368,6,1,0
4401,010532,30623,6,1,0
4402,010353,30087,1,1,0
4409,010386,30185,1,1,0
4450,010567,28158,3,1,1
4450,010567,1648593,3,1,1
4451,010569,30723,8,1,0
4452,010286,30729,1,1,0
4456,010305,31438,2,1,0
4467,010420,30349,1,1,0
4492,007809,21744,2,1,0
4494,010380,29558,1,1,0
4516,010618,30955,1,1,0
4522,010639,31063,1,1,0
4538,010297,31238,2,1,0
4547,170773,1799834,1,1,0
4552,010656,31159,6,1,0
4557,010530,30616,1,1,0
4560,010685,31168,1,1,0
4561,010686,31176,6,1,0
4587,010550,30664,1,1,0
4589,024783,30482,1,1,0
4599,010310,31530,3,1,0
4600,010509,1224010,6,1,0
4604,010777,31540,1,1,0
4609,004496,11404,3,1,0
4611,010515,30481,10,1,0
4620,010793,31563,1,1,0
4643,017252,32105,1,1,0
4655,011032,31865,1,1,0
4663,010827,31660,3,1,0
4673,010916,31671,2,1,0
4678,010832,31705,3,1,0
4684,011012,27609,1,1,0
4685,010839,31723,1,1,0
4686,182734,488775,10,1,0
4690,010902,32106,1,1,0
4691,010877,31818,3,1,0
4702,011035,7528,3,1,1
4702,011035,1660661,6,0,1
4703,010868,31787,1,1,0
4715,010930,1820399,1,1,0
4721,011027,31878,1,1,0
4722,010938,780518,2,1,0
4761,011094,32263,1,1,0
4772,011110,2072185,9,1,0
4797,011161,32621,3,1,0
4805,011185,32732,2,1,0
4814,011538,2345888,3,1,0
4815,011178,32688,1,1,0
4818,011861,32254,1,1,0
4825,011213,32913,1,1,1
4825,011213,2139195,1,1,1
4828,011113,32369,9,1,0
4832,011145,32532,9,1,0
4833,011200,33219,9,1,0
4841,011070,1055795,6,1,0
4879,011399,33382,1,1,0
4881,011234,33176,2,1,0
4883,011573,33662,1,1,0
4897,011361,33268,3,1,1
4897,011361,2657390,6,0,1
4905,011455,33417,1,1,0
4919,011509,33634,2,1,0
4922,011499,33491,2,1,0
4923,011513,33526,1,1,1
4923,011513,1702313,6,0,1
4933,011323,3401719,10,1,0
4954,011440,33380,3,1,0
4961,011366,33279,3,1,0
4980,011554,1476,1,1,1
4980,011554,33609,4,0,1
4987,011315,33149,1,1,0
4988,011302,33780,2,1,0
4998,011376,33314,1,1,0
5009,011600,33760,1,1,0
5013,011310,33137,1,1,0
5036,011644,17854,3,1,0
5037,011649,33954,2,1,0
5057,011687,34139,1,1,0
5058,013597,34096,1,1,0
5085,005680,14982,1,1,0
5099,011037,31886,9,1,0
5101,008637,494129,6,1,0
5113,006346,6996,2,1,0
5122,006013,16260,6,1,0
5129,009545,27411,10,1,0
5130,008832,577415,1,1,0
5132,006097,16533,1,1,0
5137,014815,32109,1,1,0
5140,002859,7053,2,1,1
5140,002859,2442684,6,0,1
5152,004826,12212,1,1,0
5153,005712,265407,9,1,0
5169,003570,6097,1,1,0
5181,006009,645531,10,1,0
5184,006100,16334,3,0,1
5184,006100,1141059,1,1,1
5191,010248,29837,10,1,0
5194,006125,917077,5,1,0
5195,041076,7457,2,1,0
5196,003074,6945,9,1,0
5200,009177,622680,6,1,0
5203,010981,32157,1,1,1
5203,010981,2987104,6,0,1
5216,001616,3550434,10,1,0
5217,005555,2215970,10,1,0
5220,003310,7569,2,1,0
5223,002150,3983,1,1,0
5225,001820,2862,1,1,0
5230,010411,30302,1,1,0
5233,008028,1216803,10,1,0
5238,020064,11299,3,1,0
5242,005116,13104,1,1,0
5253,007685,21497,1,1,0
5254,004456,11059,1,1,0
5258,011604,1203508,10,1,0
5259,004678,11972,1,1,0
5260,001167,909,9,1,0
5264,011183,32726,3,1,0
5270,016896,16322,1,1,0
5286,002573,8375,2,1,0
5292,006532,19240,1,1,0
5298,014800,183,9,1,0
5300,016716,10499,2,1,0
5306,009551,9985,6,1,1
5306,009551,1958074,6,1,1
5308,003171,13091,1,1,0
5327,009083,26118,1,1,0
5331,006347,33099,2,1,0
5341,010245,3143423,10,1,0
5342,017131,15798,1,1,0
5346,009167,34048,10,1,0
5348,001228,1262,1,1,0
5354,010734,31327,5,1,0
5358,008745,25016,3,1,0
5440,014172,12645,1,1,0
5518,003270,8391,5,1,0
5522,003485,2062495,10,1,0
5527,016573,24122,10,1,0
5537,005201,13528,10,1,0
5541,003917,9152,1,1,0
5545,007504,20514,2,1,0
5573,004731,183,9,1,0
5577,009298,26740,1,1,0
5580,001082,530,1,1,0
5589,002951,6554,1,1,0
5595,002555,8091,3,1,0
5599,004666,16283,3,1,0
5614,004045,665143,6,1,0
5616,006500,18184,1,1,0
5624,005811,15295,6,1,0
5627,015202,22473,2,1,0
5639,005118,13104,10,1,0
5645,006185,17024,1,1,0
5651,007798,21700,2,1,1
5651,007798,1665695,6,0,1
5653,011065,32961,2,1,0
5660,008892,25828,2,1,0
5668,007268,20365,1,1,0
5674,001076,398,1,1,0
5675,001350,1143750,6,1,0
5679,017145,33097,1,1,0
5703,008858,25539,1,1,0
5705,011051,32070,1,1,0
5708,008334,23761,1,1,0
5713,003971,9324,1,1,0
5722,008867,3155955,1,1,0
5730,273505,2123312,3,1,0
5737,002230,4363,1,1,0
5753,012779,1682473,9,1,0
5761,170307,24397,1,1,0
